,MSFT,V,WMT
1,57.599998,82.699997,72.120003
2,59.919998,82.510002,70.019997
3,60.259998,77.32,70.43
4,62.139999,78.019997,69.120003
5,64.650002,82.709999,66.739998
6,63.98,87.940002,70.93
7,65.860001,88.870003,72.080002
8,68.459999,91.220001,75.18
9,69.839996,95.230003,78.599998
10,68.93,93.779999,75.68
11,72.699997,99.559998,79.989998
12,74.769997,103.519997,78.07
13,74.489998,105.239998,78.139999
14,83.18,109.980003,87.309998
15,84.169998,112.589996,97.230003
16,85.540001,114.019997,98.75
17,95.010002,124.230003,106.599998
18,93.769997,122.940002,90.010002
19,91.269997,119.620003,88.970001
20,93.519997,126.879997,88.459999
21,98.839996,130.720001,82.540001
22,98.610001,132.449997,85.650002
23,106.080002,136.740005,89.230003
24,110.260002,145.199997,96.07
